,HOUR,MAKE,BODY_TYP,MOD_YEAR,AGE,INJ_SEV,REST_USE,EJECTION,VE_FORMS,VSURCOND,ROLLOVER,TRAV_SP,VSPD_LIM,LGT_COND,DIF_SP
12059,7,Chevrolet,SUVs,12.0,28,Fatal Injury,1,0,3,0,0,0,65,0,-65
12060,7,Chevrolet,SUVs,12.0,35,Suspected Serious Injury,0,0,3,0,0,0,65,0,-65
12061,21,Ford,Pickups,4.0,39,No Apparent Injury,1,0,3,0,0,72,40,2,32
12062,21,Honda,SUVs,19.0,49,Fatal Injury,1,0,3,0,1,32,40,2,-8
12063,10,Chevrolet,Pickups,4.0,59,No Apparent Injury,1,0,4,0,0,0,40,0,-40
12064,10,Chevrolet,SUVs,2.0,82,No Apparent Injury,1,0,4,0,0,0,40,0,-40
12065,10,Chevrolet,SUVs,2.0,76,No Apparent Injury,1,0,4,0,0,0,40,0,-40
12066,12,Chevrolet,SUVs,16.0,29,Fatal Injury,1,0,2,0,0,0,55,0,-55
12067,8,Chevrolet,Pickups,19.0,66,No Apparent Injury,1,0,3,1,0,0,45,0,-45
12068,18,Toyota,SUVs,4.0,64,No Apparent Injury,1,0,2,0,0,0,50,0,-50
12069,18,Toyota,SUVs,4.0,62,No Apparent Injury,1,0,2,0,0,0,50,0,-50
12070,7,Dodge,SUVs,15.0,46,Suspected Minor Injury,1,0,14,0,0,0,45,0,-45
12071,7,BMW,Sedans,2.0,49,Suspected Minor Injury,1,0,14,0,0,0,45,0,-45
12072,7,Chevrolet,SUVs,4.0,38,No Apparent Injury,1,0,14,0,0,0,45,0,-45
12073,7,Jeep,SUVs,9.0,56,No Apparent Injury,1,0,14,0,0,0,45,0,-45
12074,7,Toyota,SUVs,2.0,54,No Apparent Injury,1,0,14,0,0,0,45,0,-45
12075,7,BMW,Pickups,4.0,58,No Apparent Injury,1,0,14,0,0,0,45,0,-45
12076,14,Toyota,Pickups,15.0,54,Possible Injury,1,0,2,0,0,0,40,0,-40
12077,9,Jeep,SUVs,4.0,38,No Apparent Injury,1,0,2,0,0,0,40,0,-40
12078,9,Jeep,SUVs,4.0,35,No Apparent Injury,1,0,2,0,0,0,40,0,-40
12079,5,Chevrolet,Sedans,7.0,26,Suspected Minor Injury,0,0,3,0,0,80,70,2,10
12080,5,Toyota,Sedans,26.0,21,Suspected Serious Injury,0,0,3,0,0,0,70,2,-70
12081,18,BMW,Sedans,9.0,54,Fatal Injury,1,0,2,0,0,60,60,2,0
12082,18,Dodge,Pickups,22.0,48,Suspected Minor Injury,1,0,2,0,0,55,60,2,-5
12083,20,Dodge,Pickups,19.0,16,Suspected Serious Injury,0,0,2,0,0,70,60,2,10
12084,20,Dodge,Pickups,19.0,17,Suspected Serious Injury,0,0,2,0,0,70,60,2,10
12085,20,Dodge,Pickups,19.0,18,Suspected Serious Injury,0,0,2,0,0,70,60,2,10
12086,23,GMC,SUVs,18.0,23,Fatal Injury,1,0,2,0,0,0,60,2,-60
12087,22,BMW,Pickups,14.0,24,Fatal Injury,0,1,1,1,1,89,40,2,49
12088,4,Toyota,SUVs,19.0,33,Fatal Injury,0,1,1,0,1,65,40,2,25
12089,4,Toyota,SUVs,19.0,17,Suspected Minor Injury,0,0,1,0,1,65,40,2,25
12090,4,Toyota,SUVs,19.0,18,No Apparent Injury,1,0,1,0,1,65,40,2,25
12091,1,Toyota,Sedans,4.0,54,No Apparent Injury,1,0,3,0,0,0,35,2,-35
12092,10,Ford,Sedans,17.0,35,Suspected Minor Injury,1,0,2,1,0,0,60,0,-60
12093,11,Chevrolet,Sedans,5.0,25,Fatal Injury,1,0,2,0,0,0,65,0,-65
